iter	Passed	Remaining
292	11472	27683
293	11520	27664
294	11570	27650
295	11617	27630
296	11666	27614
297	11711	27588
298	11757	27565
299	11802	27539
300	11850	27518
301	11895	27493
302	11940	27465
303	11982	27434
304	12026	27405
305	12074	27385
306	12138	27399
307	12193	27395
308	12238	27367
309	12282	27338
310	12328	27313
311	12372	27283
312	12414	27249
313	12457	27217
314	12500	27184
315	12542	27149
316	12587	27121
317	12656	27142
318	12702	27116
319	12743	27079
320	12795	27066
321	12833	27021
322	12870	26976
323	12907	26930
324	12944	26885
325	12981	26839
326	13021	26799
327	13057	26751
328	13093	26705
329	13131	26660
330	13171	26621
331	13208	26575
332	13245	26531
333	13283	26487
334	13320	26443
335	13359	26400
336	13398	26360
337	13441	26326
338	13482	26289
339	13523	26250
340	13562	26209
341	13601	26169
342	13641	26129
343	13682	26091
344	13722	26052
345	13761	26012
346	13802	25973
347	13843	25936
348	13884	25898
349	13924	25859
350	13952	25797
351	13992	25758
352	14032	25719
353	14073	25681
354	14113	25642
355	14154	25606
356	14198	25572
357	14241	25538
358	14282	25500
359	14321	25461
360	14362	25422
361	14402	25384
362	14442	25344
363	14483	25306
364	14530	25278
365	14579	25255
366	14630	25233
367	14682	25215
368	14729	25187
369	14775	25158
370	14824	25134
371	14872	25107
372	14921	25081
373	14966	25050
374	15015	25025
375	15062	24996
376	15107	24965
377	15151	24931
378	15195	24898
379	15239	24864
380	15282	24829
381	15325	24793
382	15369	24759
383	15392	24691
384	15435	24656
385	15479	24623
386	15522	24587
387	15567	24554
388	15608	24516
389	15651	24479
390	15693	24443
391	15734	24405
392	15777	24368
393	15818	24329
394	15862	24296
395	15904	24258
396	15945	24218
397	15986	24179
398	16026	24140
399	16068	24102
400	16109	24064
